Crash ID,State,Date,Day,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,National Remoteness Areas,National LGA Name 2021,National Road Type,Christmas Period,Easter Period,Age Group,Day of week,Time of day
20184023,SA,3-1-2018 8:00,Thursday,Single,No,No,No,50,Motorcycle rider,Male,44,Outer Regional Australia,Wattle Range,Local Road,No,No,40_to_64,Weekday,Day
20184004,SA,3-1-2018 9:00,Thursday,Multiple,No,No,No,100,Pedal cyclist,Male,80,Outer Regional Australia,Grant,Arterial Road,No,No,75_or_older,Weekday,Day
20182016,Vic,3-1-2018 9:00,Wednesday,Single,Yes,No,No,40,Pedestrian,Female,96,Major Cities of Australia,Banyule,Collector Road,No,No,75_or_older,Weekday,Day
20183097,Qld,3-1-2018 10:00,Saturday,Multiple,No,No,No,100,Driver,Male,34,Outer Regional Australia,Gympie,National or State Highway,No,No,26_to_39,Weekend,Day
20183071,Qld,3-1-2018 10:00,Tuesday,Multiple,No,No,Yes,90,Driver,Male,81,Major Cities of Australia,Logan,Local Road,No,No,75_or_older,Weekday,Day
20181219,NSW & ACT,3-1-2018 10:00,Saturday,Multiple,No,No,No,100,Motorcycle rider,Male,64,Inner Regional Australia,Ballina,National or State Highway,No,No,40_to_64,Weekend,Day
20182034,Vic,3-1-2018 10:00,Thursday,Single,No,No,No,70,Pedestrian,Male,86,Major Cities of Australia,Manningham,Arterial Road,No,No,75_or_older,Weekday,Day
20184039,SA,3-1-2018 10:00,Thursday,Multiple,No,No,Yes,60,Pedal cyclist,Male,69,Major Cities of Australia,Burnside,Arterial Road,No,Yes,65_to_74,Weekday,Day
20181181,NSW & ACT,3-1-2018 10:00,Sunday,Multiple,Yes,No,No,110,Driver,Male,60,Outer Regional Australia,Bland,National or State Highway,No,No,40_to_64,Weekend,Day
20183198,Qld,3-1-2018 11:00,Friday,Multiple,No,No,No,80,Driver,Male,62,Major Cities of Australia,Logan,Sub-Arterial Road,No,No,40_to_64,Weekday,Day
20183198,Qld,3-1-2018 11:00,Friday,Multiple,No,No,No,80,Driver,Female,77,Major Cities of Australia,Logan,Sub-Arterial Road,No,No,75_or_older,Weekday,Day
20183119,Qld,3-1-2018 11:00,Sunday,Multiple,No,No,No,60,Motorcycle rider,Male,73,Inner Regional Australia,Toowoomba,Sub-Arterial Road,No,No,65_to_74,Weekend,Day
20183107,Qld,3-1-2018 11:00,Friday,Multiple,No,No,No,60,Passenger,Female,89,Major Cities of Australia,Logan,Sub-Arterial Road,No,No,75_or_older,Weekday,Day
20183009,Qld,3-1-2018 11:00,Thursday,Single,No,No,No,100,Driver,Male,39,Outer Regional Australia,Douglas,Sub-Arterial Road,No,No,26_to_39,Weekday,Day
20182174,Vic,3-1-2018 11:00,Friday,Multiple,No,No,No,50,Motorcycle rider,Male,31,Major Cities of Australia,Brimbank,Local Road,No,No,26_to_39,Weekday,Day
20181224,NSW & ACT,3-1-2018 11:00,Friday,Single,No,No,No,60,Pedestrian,Female,86,Major Cities of Australia,Bayside (NSW),Arterial Road,No,No,75_or_older,Weekday,Day
20184018,SA,3-1-2018 11:00,Friday,Single,No,No,No,110,Driver,Male,78,Inner Regional Australia,Coorong,National or State Highway,No,No,75_or_older,Weekday,Day
20182064,Vic,3-1-2018 11:00,Wednesday,Single,No,No,No,100,Driver,Male,42,Inner Regional Australia,Indigo,Arterial Road,No,No,40_to_64,Weekday,Day
20184040,SA,3-1-2018 11:00,Sunday,Multiple,No,No,No,110,Driver,Female,67,Outer Regional Australia,Loxton Waikerie,National or State Highway,No,No,65_to_74,Weekend,Day
20183005,Qld,3-1-2018 12:00,Monday,Multiple,No,Yes,No,90,Driver,Female,55,Inner Regional Australia,Scenic Rim,Sub-Arterial Road,No,No,40_to_64,Weekday,Day
20185105,WA,3-1-2018 12:00,Monday,Single,No,No,No,60,Pedestrian,Male,93,Major Cities of Australia,Fremantle,Arterial Road,No,No,75_or_older,Weekday,Day
20187018,NT,3-1-2018 12:00,Saturday,Single,No,No,No,110,Other/Unknown,Female,21,Remote Australia,West Arnhem,Arterial Road,No,Yes,17_to_25,Weekend,Day
20187018,NT,3-1-2018 12:00,Saturday,Single,No,No,No,110,Driver,Male,28,Remote Australia,West Arnhem,Arterial Road,No,Yes,26_to_39,Weekend,Day
20187018,NT,3-1-2018 12:00,Saturday,Single,No,No,No,110,Other/Unknown,Female,28,Remote Australia,West Arnhem,Arterial Road,No,Yes,26_to_39,Weekend,Day
20185099,WA,3-1-2018 12:00,Wednesday,Single,No,Yes,No,110,Driver,Male,60,Outer Regional Australia,Kellerberrin,Local Road,No,No,40_to_64,Weekday,Day
20181223,NSW & ACT,3-1-2018 12:00,Saturday,Single,No,No,No,80,Motorcycle rider,Male,35,Outer Regional Australia,Snowy Valleys,Sub-Arterial Road,No,No,26_to_39,Weekend,Day
20186031,Tas,3-1-2018 12:00,Monday,Single,No,No,Yes,Unknown,Driver,Male,61,Outer Regional Australia,Dorset,Access Road,No,No,40_to_64,Weekday,Day
