Crash ID,State,Month,Year,Day,Time,Crash Type,Number Fatalities,"Bus 
Involvement",Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,National Remoteness Areas,National LGA Name 2021,National Road Type,Christmas Period,Easter Period,Day of week,Time of Day,Time
20222034,Vic,12,2022,Saturday,8:00,Single,1,No,No,No,40,Major Cities of Australia,Banyule,Sub-Arterial Road,Yes,No,Weekend,Day,8:00
20223091,Qld,12,2022,Thursday,12:00,Single,1,No,No,No,50,Major Cities of Australia,Brisbane,Collector Road,No,No,Weekday,Day,12:00
20225051,WA,12,2022,Tuesday,16:00,Single,1,No,No,No,70,Unknown,Unknown,Unknown,No,No,Weekday,Day,16:00
20225058,WA,12,2022,Saturday,19:00,Single,1,No,No,No,60,Unknown,Unknown,Unknown,No,No,Weekend,Night,19:00
20225062,WA,12,2022,Thursday,19:00,Single,1,No,No,No,110,Unknown,Unknown,Unknown,No,No,Weekday,Night,19:00
20225063,WA,12,2022,Wednesday,11:00,Multiple,1,No,No,No,50,Unknown,Unknown,Unknown,No,No,Weekday,Day,11:00
20225095,WA,12,2022,Wednesday,12:00,Single,1,No,No,No,110,Unknown,Unknown,Unknown,Yes,No,Weekday,Day,12:00
20221106,NSW & ACT,12,2022,Friday,20:00,Multiple,1,No,No,No,50,Major Cities of Australia,Northern Beaches,Collector Road,Yes,No,Weekend,Night,20:00
20221263,NSW & ACT,12,2022,Monday,10:00,Single,1,No,No,Yes,80,Inner Regional Australia,Bathurst,National or State Highway,No,No,Weekday,Day,10:00
20221022,NSW & ACT,12,2022,Wednesday,12:00,Single,1,No,No,No,50,Major Cities of Australia,Sydney,National or State Highway,No,No,Weekday,Day,12:00
20221060,NSW & ACT,12,2022,Friday,1:00,Single,1,No,No,No,50,Outer Regional Australia,Federation,Sub-Arterial Road,Yes,No,Weekday,Night,1:00
20222157,Vic,12,2022,Sunday,7:00,Single,1,No,No,No,100,Inner Regional Australia,Baw Baw,Sub-Arterial Road,No,No,Weekend,Day,7:00
20222183,Vic,12,2022,Monday,19:00,Single,1,No,No,No,100,Inner Regional Australia,Latrobe (Vic.),Sub-Arterial Road,No,No,Weekday,Night,19:00
20223134,Qld,12,2022,Saturday,8:00,Single,1,No,No,No,100,Outer Regional Australia,Banana,Sub-Arterial Road,Yes,No,Weekend,Day,8:00
20223145,Qld,12,2022,Wednesday,13:00,Single,1,No,No,No,70,Major Cities of Australia,Brisbane,Sub-Arterial Road,No,No,Weekday,Day,13:00
20223263,Qld,12,2022,Saturday,10:00,Multiple,2,No,No,No,80,Outer Regional Australia,Douglas,Collector Road,No,No,Weekend,Day,10:00
20223051,Qld,12,2022,Saturday,16:00,Multiple,1,No,No,No,60,Inner Regional Australia,Toowoomba,National or State Highway,No,No,Weekend,Day,16:00
20223078,Qld,12,2022,Wednesday,17:00,Multiple,1,No,No,No,60,Major Cities of Australia,Gold Coast,Collector Road,No,No,Weekday,Day,17:00
20224011,SA,12,2022,Wednesday,18:00,Single,1,No,No,No,100,Inner Regional Australia,Alexandrina,Sub-Arterial Road,No,No,Weekday,Night,18:00
20225098,WA,12,2022,Friday,10:00,Multiple,1,No,Yes,No,90,Unknown,Unknown,Unknown,No,No,Weekday,Day,10:00
20226017,Tas,12,2022,Saturday,18:00,Single,1,No,No,No,60,Outer Regional Australia,Glamorgan-Spring Bay,National or State Highway,No,No,Weekend,Night,18:00
20221111,NSW & ACT,12,2022,Friday,16:00,Single,1,No,No,No,60,Major Cities of Australia,Northern Beaches,Arterial Road,No,No,Weekday,Day,16:00
20221154,NSW & ACT,12,2022,Thursday,18:00,Multiple,1,No,No,No,80,Inner Regional Australia,Penrith,Arterial Road,No,No,Weekday,Night,18:00
20221172,NSW & ACT,12,2022,Saturday,12:00,Single,1,No,No,No,50,Major Cities of Australia,Penrith,Local Road,Yes,No,Weekend,Day,12:00
20221077,NSW & ACT,12,2022,Tuesday,21:00,Single,1,No,No,No,50,Major Cities of Australia,Wollongong,Local Road,No,No,Weekday,Night,21:00
20221002,NSW & ACT,12,2022,Sunday,16:00,Multiple,1,No,No,No,80,Inner Regional Australia,Lithgow,Arterial Road,No,No,Weekend,Day,16:00
20223153,Qld,12,2022,Saturday,16:00,Multiple,1,No,No,Yes,100,Inner Regional Australia,Bundaberg,National or State Highway,Yes,No,Weekend,Day,16:00
20223160,Qld,12,2022,Saturday,12:00,Single,2,No,No,No,80,Inner Regional Australia,Sunshine Coast,Local Road,Yes,No,Weekend,Day,12:00
20223032,Qld,12,2022,Sunday,17:00,Single,1,No,No,No,100,Very Remote Australia,Cook,Sub-Arterial Road,No,No,Weekend,Day,17:00
20224062,SA,12,2022,Wednesday,20:00,Multiple,1,No,No,No,80,Major Cities of Australia,Salisbury,National or State Highway,Yes,No,Weekday,Night,20:00
20225135,WA,12,2022,Thursday,7:00,Multiple,1,No,No,No,60,Unknown,Unknown,Unknown,No,No,Weekday,Day,7:00
