National LGA Name 2021,count Crash ID,Local Government Area,Population,Fatal Crashes Per 1000 People
Port Lincoln,2,Port Lincoln,14956,1.337255951
Port Macquarie-Hastings,41,Port Macquarie-Hastings,88311,4.642683244
Port Phillip,13,Port Phillip,103990,1.250120204
Port Pirie,13,Port Pirie,17621,7.377560865
Port Stephens,43,Port Stephens,76672,5.608305509
Prospect,5,Prospect,22744,2.198381991
Pyrenees,12,Pyrenees,7651,15.68422428
Quairading,5,Quairading,982,50.91649695
Queanbeyan-Palerang,21,Queanbeyan-Palerang,64233,3.269347532
Quilpie,2,Quilpie,703,28.44950213
Randwick,15,Randwick,135686,1.105493566
Ravensthorpe,3,Ravensthorpe,2200,13.63636364
Redland,15,Redland,163732,0.9161312389
Renmark Paringa,7,Renmark Paringa,10035,6.975585451
Richmond Valley,24,Richmond Valley,23702,10.12572779
Robe,2,Robe,1588,12.59445844
Rockhampton,20,Rockhampton,83604,2.392230037
Rockingham,27,Rockingham,143653,1.879529143
Roper Gulf,29,Roper Gulf,7477,38.7856092
Ryde,18,Ryde,131122,1.372767346
Salisbury,45,Salisbury,147932,3.041938188
Sandstone,1,Sandstone,119,84.03361345
Scenic Rim,39,Scenic Rim,44333,8.797058625
Serpentine-Jarrahdale,26,Serpentine-Jarrahdale,34773,7.477065539
Shark Bay,1,Shark Bay,1081,9.250693802
Shellharbour,14,Shellharbour,78332,1.787264464
Shoalhaven,59,Shoalhaven,109611,5.382671447
Singleton,37,Singleton,25093,14.74514805
Snowy Monaro,30,Snowy Monaro,21823,13.74696421
Snowy Valleys,20,Snowy Valleys,14936,13.39046599
Somerset,35,Somerset,25713,13.6117917
Sorell,7,Sorell,17430,4.016064257
South Burnett,27,South Burnett,33789,7.990766226
South Gippsland,35,South Gippsland,30697,11.40176564
South Perth,2,South Perth,45137,0.4430954649
Southern Downs,19,Southern Downs,36994,5.135967995
Southern Grampians,13,Southern Grampians,16393,7.930214116
Southern Mallee,3,Southern Mallee,2011,14.91795127
Southern Midlands,12,Southern Midlands,6888,17.42160279
Stirling,29,Stirling,235983,1.228902082
Stonnington,12,Stonnington,106418,1.127628785
Strathbogie,19,Strathbogie,11510,16.50738488
Strathfield,8,Strathfield,46230,1.730478045
Streaky Bay,5,Streaky Bay,2257,22.15330084
Subiaco,1,Subiaco,17976,0.5562972853
Sunshine Coast,74,Sunshine Coast,355889,2.079300006
Surf Coast,14,Surf Coast,38652,3.622063541
Sutherland,40,Sutherland,231839,1.725335254
Swan,38,Swan,163817,2.319661574
Swan Hill,13,Swan Hill,21225,6.124852768
Sydney,46,Sydney,218096,2.109162937
Tablelands,19,Tablelands,26808,7.087436586
Tamworth,46,Tamworth,64522,7.129351229
